URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,FILENAME,URL,Domain,TLD,Title,label
33,26,0,100.0,1.0,0.5229071,0.063946492,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,2616,584,1,55.55555556,55.55555556,1,1,1,0,0,1,0,5,0,1,1,0,0,0,1,0,1,80,13,10,376,1,9,167350.txt,https://www.religionenlibertad.com,www.religionenlibertad.com,com,religiÃ³n en libertad | noticias de religiÃ³n,benign
22,16,0,82.6446281,1.0,0.5229071,0.06741797,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,87,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mw42508.txt,http://www.teramill.com,www.teramill.com,com,0,benign
27,20,0,100.0,1.0,0.0799628,0.064491134,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1043,1037,1,50.0,50.0,1,0,0,0,0,1,12,1,0,0,1,1,1,1,0,0,1,16,9,13,92,1,18,515489.txt,https://www.socialpolicy.org,www.socialpolicy.org,org,social policy: organizing for social and economic justice,benign
20,13,0,100.0,1.0,0.5229071,0.055131169,3,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,5966,22382,1,0.0,0.0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,16,4,7,4,0,14,858208.txt,https://www.aoh61.com,www.aoh61.com,com,0,benign
26,19,0,100.0,1.0,0.5229071,0.055714659,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2639,1574,1,100.0,100.0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,63,12,22,156,2,184,712305.txt,https://www.bulgariaski.com,www.bulgariaski.com,com,bulgaria ski - bulgarian ski resorts and holiday bookings.,benign
24,17,0,100.0,1.0,0.5229071,0.053754992,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,5509,550,1,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,14,19,2,1,14,252332.txt,https://www.brightika.com,www.brightika.com,com,0,benign
20,13,0,100.0,1.0,0.0015878,0.061203697,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,2839,8047,1,100.0,100.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,56,10,16,235,0,254,862789.txt,https://www.motley.ie,www.motley.ie,ie,home | motley,benign
21,14,0,100.0,1.0,0.0022172,0.042916591,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1576,1907,1,100.0,100.0,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,52,10,27,0,1,143,561324.txt,https://www.funzine.hu,www.funzine.hu,hu,funzine,benign
21,14,0,100.0,1.0,0.5229071,0.054492147,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,5004,13844,1,0.0,0.0,1,0,1,0,0,1,0,21,0,1,1,1,1,1,1,0,1,259,14,33,168,1,90,791831.txt,https://www.dixxon.com,www.dixxon.com,com,facebook,benign
22,15,0,100.0,0.625,0.0050842,0.060958413,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,719,1842,1,80.0,80.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21,0,2,2,0,1,861208.txt,https://www.ooty.ind.in,www.ooty.ind.in,in,best places to visit in ooty tamil nadu ootacamund,benign
26,20,0,55.28492647,0.923076923,0.0180132,0.015061052,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw16985.txt,http://www.f0519141.xsph.ru,www.f0519141.xsph.ru,ru,400 bad request,phishing
24,17,0,56.55114117,1.0,5.3e-05,0.042982074,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,20,211,1,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw131249.txt,http://www.shprakserf.gq,www.shprakserf.gq,gq,shprakserf.gq,phishing
28,21,0,100.0,1.0,0.5229071,0.066744309,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,2412,17815,1,0.0,0.0,1,0,1,0,0,1,0,2,0,1,0,1,0,1,1,1,1,49,2,4,111,2,39,6569.txt,https://www.cryptocompare.com,www.cryptocompare.com,com,"cryptocurrency prices, portfolio, forum, rankings | cryptocompare.com",benign
29,22,0,100.0,1.0,0.0064109,0.068406052,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,11406,467,1,100.0,100.0,0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,1,217,4,10,609,12,93,394270.txt,https://www.diariodealmeria.es,www.diariodealmeria.es,es,diario de almeria - diario de almerÃ­a,benign
33,26,0,100.0,0.631578947,0.0230451,0.054905556,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,407,1497,1,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,37,10,21,2,0,7,518245.txt,https://www.town.minamichita.lg.jp,www.town.minamichita.lg.jp,jp,å—çŸ¥å¤šç”ºå…¬å¼ã‚¦ã‚§ãƒ–ã‚µã‚¤ãƒˆ,benign
25,18,0,100.0,1.0,0.5229071,0.062164929,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,317,191,1,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,4,2,2,4,683655.txt,https://www.bwresearch.com,www.bwresearch.com,com,bw research partnership,benign
36,29,0,100.0,1.0,9.54e-05,0.056798719,4,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,795,3398,1,100.0,100.0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,1,10,3,6,23,2,17,638225.txt,https://www.musicvideoproduction.guru,www.musicvideoproduction.guru,guru,miami video production - music video company | regulus films,benign
37,29,0,64.64526358,0.48,0.5229071,0.059401289,3,1,0,0,0.0,26,0.703,0,0.0,0,0,0,3,0.081,1,16,113,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972389.txt,https://service-mitld.firebaseapp.com/,service-mitld.firebaseapp.com,com,0,phishing
32,26,0,45.84980237,0.526315789,0.0326503,0.0452655,2,2,0,0,0.0,16,0.5,2,0.062,0,0,0,3,0.094,0,43,283,1,5.263157895,5.263157895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,mw34096.txt,http://www.kuradox92.lima-city.de,www.kuradox92.lima-city.de,de,www.kuradox92.lima-city.de - zugriff / access: #403,phishing
26,18,0,54.51591943,0.571428571,0.001502,0.032795326,3,1,0,0,0.0,11,0.423,4,0.154,0,0,0,3,0.115,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8008520.txt,https://liuy-9a930.web.app/,liuy-9a930.web.app,app,site not found,phishing
21,14,0,100.0,1.0,0.5229071,0.063377153,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1465,1501,1,100.0,100.0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,13,17,29,45,1,59,86745.txt,https://www.landed.com,www.landed.com,com,landed | homebuying navigator for essential professionals,benign
91,7,0,9.669201014,1.0,0.0129268,0.041482802,2,0,0,0,0.0,69,0.758,7,0.077,1,1,0,5,0.077,1,105,1607,1,0.0,2.53164557,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,6,0,0,2,8029912.txt,https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai,ipfs.io,io,roundcube webmail :: welcome to roundcube webmail,phishing
40,32,0,36.61221591,0.607142857,0.5229071,0.035013849,3,1,0,0,0.0,16,0.4,12,0.3,0,0,0,5,0.125,0,13,119,1,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8066660.txt,http://att-103731-107123.weeblysite.com/,att-103731-107123.weeblysite.com,com,redirecting to https://att-103731-107123.weeblysite.com,phishing
24,17,0,100.0,1.0,0.5229071,0.062644799,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1331,343,1,0.0,0.0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,15,29,17,49,0,13,53440.txt,https://www.bikeseoul.com,www.bikeseoul.com,com,ì„œìš¸ìžì „ê±° ë”°ë¦‰ì´ - ë¬´ì¸ëŒ€ì—¬ì‹œìŠ¤í…œ,benign
35,26,0,63.90532544,0.590909091,0.5229071,0.047810565,3,1,0,0,0.0,22,0.629,2,0.057,0,0,0,3,0.086,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8065475.txt,https://hidok4f8zl.firebaseapp.com/,hidok4f8zl.firebaseapp.com,com,site not found,phishing
23,16,0,100.0,0.777777778,0.028555,0.065006937,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,2625,3976,1,0.0,0.0,1,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,64,69,20,137,0,23,584755.txt,https://www.ibeani.co.uk,www.ibeani.co.uk,uk,0,benign
32,25,0,100.0,1.0,0.5229071,0.068597251,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,3188,2683,1,0.0,0.0,0,0,1,0,0,1,0,19,0,1,1,0,1,1,1,0,1,85,3,20,93,0,9,603823.txt,https://www.metroretrovintage.com,www.metroretrovintage.com,com,0,benign
19,13,0,79.25925926,1.0,0.5229071,0.064809075,3,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,2,179,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mw52024.txt,http://www.ooguy.com,www.ooguy.com,com,object moved,phishing
19,12,0,100.0,1.0,0.0129268,0.05131194,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,229,171,1,100.0,100.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,4,8,7,0,4,62523.txt,https://www.vysor.io,www.vysor.io,io,vysor,benign
27,21,0,76.65441176,1.0,0.5229071,0.061914384,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,2,2826,1,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,mw74078.txt,http://www.fairytalesinc.com,www.fairytalesinc.com,com,fairytalesinc,phishing
27,21,0,47.36639754,0.583333333,0.0006227,0.039958523,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,8,41,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw65785.txt,http://www.iuhjn.pplink.club,www.iuhjn.pplink.club,club,iuhjnpplink,phishing
32,24,0,49.27777778,0.6,0.001502,0.050001333,3,1,0,0,0.0,19,0.594,2,0.062,0,0,0,3,0.094,1,2,3306,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,7932715.txt,https://mechinchem-5cb8a.web.app/,mechinchem-5cb8a.web.app,app,mechinchem-5cb8aweb,phishing
24,17,0,100.0,1.0,0.5229071,0.058978238,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2262,739,1,100.0,100.0,0,0,1,0,0,1,1,3,0,1,1,1,0,0,1,0,0,2,11,24,266,0,369,532746.txt,https://www.salutlive.com,www.salutlive.com,com,salutlive,benign
29,22,0,100.0,1.0,0.0141483,0.061103084,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,3051,1021,1,100.0,100.0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,56,1,18,71,0,283,751473.txt,https://www.recettessimples.fr,www.recettessimples.fr,fr,recettessimples,benign
41,33,0,34.32722951,0.482758621,0.001502,0.05160881,3,1,0,0,0.0,25,0.61,3,0.073,0,0,0,5,0.122,1,108,8125,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8016956.txt,https://fb-restriction-case-97be5.web.app/,fb-restriction-case-97be5.web.app,app,fb-restriction-case-97be5web,phishing
140,23,0,9.20379461,1.0,0.5229071,0.037272312,3,0,0,0,0.0,99,0.707,19,0.136,2,1,0,11,0.1,1,11,148,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8044158.txt,https://pontosapontamentolu.com/gclid/=/c/?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,pontosapontamentolu.com,com,pontosapontamentolugclid=c?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,phishing
27,20,0,100.0,1.0,0.5229071,0.06627117,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,325,569,1,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,21,1,21,386777.txt,https://www.ainewsletter.com,www.ainewsletter.com,com,ainewsletter,benign
27,20,0,100.0,0.769230769,0.0100856,0.060261303,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,567,1820,1,0.0,0.0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,9,10,20,83,0,84,445249.txt,https://www.marrugeku.com.au,www.marrugeku.com.au,au,mrrugekucom,benign
24,17,0,100.0,1.0,0.5229071,0.062492995,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,301,263,1,100.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,1,5,39,0,12,527611.txt,https://www.sweatdrop.com,www.sweatdrop.com,com,sweatdrop,benign
22,16,0,65.84022039,1.0,0.0001604,0.062467929,5,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,30,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw1796.txt,http://www.komaru.today,www.komaru.today,today,0,benign
34,26,0,76.13412229,0.826086957,0.0129268,0.04598469,2,1,0,0,0.0,17,0.5,6,0.176,0,0,0,3,0.088,1,141,161,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8030239.txt,https://dev-634536.pantheonsite.io/,dev-634536.pantheonsite.io,io,dev-634536pantheonsite,phishing
24,17,0,100.0,1.0,0.5229071,0.074052865,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,5194,2716,1,100.0,100.0,1,0,1,1,0,1,0,23,0,1,1,1,1,1,1,0,1,42,26,53,139,3,40,96527.txt,https://www.senacases.com,www.senacases.com,com,senacases,benign
32,23,0,64.42974165,1.0,0.5229071,0.062301654,3,0,0,0,0.0,22,0.688,0,0.0,0,0,0,2,0.062,1,98,292,1,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050920.txt,https://sabadonoappmagazine.com/,sabadonoappmagazine.com,com,sabadonoappmagazine,phishing
25,18,0,100.0,1.0,0.5229071,0.063532013,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,3176,3960,1,100.0,100.0,1,0,0,0,0,0,5,10,0,1,1,0,0,1,0,0,0,180,3,7,260,0,124,626639.txt,https://www.vespatales.com,www.vespatales.com,com,vespatales,benign
24,18,0,72.10884354,1.0,0.5229071,0.065133791,3,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,2,479,1,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw27703.txt,http://www.nextraload.com,www.nextraload.com,com,nextraload,phishing
19,12,0,100.0,1.0,0.0180132,0.048096855,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,3394,7250,1,0.0,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,15,4,8,142,1,91,145087.txt,https://www.klerk.ru,www.klerk.ru,ru,klek,benign
26,19,0,100.0,1.0,0.5229071,0.064599296,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,3304,25182,1,100.0,100.0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,3,8,50,403,2,417,28887.txt,https://www.karenmillen.com,www.karenmillen.com,com,karenmillen,benign
36,12,0,32.01743956,1.0,0.0001819,0.042140183,5,0,0,0,0.0,21,0.583,4,0.111,0,0,0,3,0.083,1,90,394,1,0.0,95.23809524,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,2,8024229.txt,https://topaka.cloud/ob52gtplj/18snwp,topaka.cloud,cloud,topakaob52gtplj18snw,phishing
21,14,0,100.0,1.0,0.0799628,0.058046018,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,533,234,1,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,0,10,404766.txt,https://www.mlpack.org,www.mlpack.org,org,mlpack,benign
30,22,0,51.95337114,0.444444444,0.001502,0.040628727,3,1,0,0,0.0,18,0.6,1,0.033,0,0,0,3,0.1,1,36,247,1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8017962.txt,https://metafb-tvz6efk.web.app/,metafb-tvz6efk.web.app,app,metafb-tvz6efkweb,phishing
30,24,0,62.82548476,1.0,0.5229071,0.060811307,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0,2,39,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw63002.txt,http://www.hesselawchambers.com,www.hesselawchambers.com,com,0,phishing
35,28,0,100.0,0.857142857,0.0094423,0.057284654,2,2,0,0,0.0,21,0.6,0,0.0,0,0,0,2,0.057,1,812,1057,1,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,6,5,22,2,11,641422.txt,https://www.schmitzfotografia.com.br,www.schmitzfotografia.com.br,br,schmitzfotografiacom,benign
25,18,0,100.0,1.0,0.5229071,0.070239275,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1990,16389,1,100.0,100.0,0,1,1,0,0,1,0,2,1,1,1,1,0,1,0,0,1,49,26,29,268,0,297,157978.txt,https://www.lanereport.com,www.lanereport.com,com,lanereport,benign
17,10,0,100.0,1.0,0.0015361,0.033447415,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,1138,9530,1,0.0,0.0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,18,16,19,143,8,159,500325.txt,https://www.spg.pt,www.spg.pt,pt,sg,benign
24,17,0,100.0,1.0,0.5229071,0.071746922,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,801,484,1,77.77777778,77.77777778,1,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,23,2,9,66,0,67,74410.txt,https://www.coraevans.com,www.coraevans.com,com,raevans,benign
25,18,0,100.0,1.0,0.0799628,0.069403421,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1103,556,1,0.0,0.0,0,0,1,0,0,1,0,9,0,1,1,1,0,0,0,0,1,31,13,8,34,2,24,859553.txt,https://www.torahmates.org,www.torahmates.org,org,tahmates,benign
25,18,0,100.0,1.0,0.0059772,0.057415787,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,4328,2624,1,0.0,0.0,1,0,1,0,0,1,0,9,0,1,0,0,0,0,0,0,1,216,5,10,406,0,444,43990.txt,https://www.larepublica.co,www.larepublica.co,co,larepublia,benign
20,13,0,100.0,1.0,0.0005524,0.048970194,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,3659,659,1,100.0,100.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,63,5,7,433,0,442,597036.txt,https://www.pimpim.lt,www.pimpim.lt,lt,pimpim,benign
30,24,0,48.80952381,0.5625,0.0799628,0.051875492,3,2,0,0,0.0,17,0.567,0,0.0,0,0,0,2,0.067,0,9,42,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw31j26066.txt,http://www.httpzen.fairhash.org,www.httpzen.fairhash.org,org,httpzenfairhash,benign
